ID,Y,filename,sex,age,age_years,corpus,group,child_TNW,child_TNS,examiner_TNW,freq_ttr,r_2_i_verbs,mor_words,num_pos_tags,n_dos,repetition,retracing,fillers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,word_errors,,,,,,,,,total_error
58,1,831.cha,male,103,8.583333333,ENNI,SLI,754,95,14,0.246,0.380434783,641,45,1,25,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9
59,1,870.cha,male,107,8.916666667,ENNI,SLI,375,60,0,0.304,0.418604651,312,32,1,19,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4
60,1,871.cha,female,107,8.916666667,ENNI,SLI,500,66,5,0.308,0.171428571,425,38,0,25,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4
61,1,872.cha,female,107,8.916666667,ENNI,SLI,425,61,0,0.282,0.220338983,404,34,0,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,11
62,1,874.cha,male,101,8.416666667,ENNI,SLI,638,80,0,0.231,0.5,546,34,1,13,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,12
63,1,875.cha,female,107,8.916666667,ENNI,SLI,563,76,0,0.32,0.368421053,507,41,0,11,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,11
64,1,877.cha,male,107,8.916666667,ENNI,SLI,342,54,15,0.28,0.307692308,329,36,0,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4
65,1,878.cha,male,108,9,ENNI,SLI,438,58,15,0.258,0.272727273,399,31,1,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5
66,1,879.cha,male,100,8.333333333,ENNI,SLI,680,85,0,0.201,0.568965517,593,41,3,46,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,13
67,1,880.cha,female,105,8.75,ENNI,SLI,887,108,2,0.221,0.266666667,831,51,1,23,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9
68,1,903.cha,female,109,9.083333333,ENNI,SLI,348,53,0,0.376,0.357142857,306,40,3,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7
69,1,920.cha,male,114,9.5,ENNI,SLI,705,79,0,0.253,0.197183099,616,41,3,23,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
70,1,922.cha,male,113,9.416666667,ENNI,SLI,1404,185,15,0.206,0.431137725,1192,62,11,42,76,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,6
71,1,924.cha,male,112,9.333333333,ENNI,SLI,1162,125,0,0.198,0.504950495,936,45,2,82,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5
72,1,926.cha,female,114,9.5,ENNI,SLI,729,80,0,0.246,0.247191011,663,42,1,7,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,10
73,1,928.cha,male,116,9.666666667,ENNI,SLI,592,63,7,0.292,0.22972973,469,36,0,25,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4
74,1,932.cha,female,118,9.833333333,ENNI,SLI,888,92,0,0.254,0.307692308,709,44,3,42,56,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7
75,1,934.cha,male,115,9.583333333,ENNI,SLI,535,62,0,0.283,0.245901639,431,39,3,8,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,9
76,1,935.cha,female,112,9.333333333,ENNI,SLI,465,58,0,0.282,0.5,411,31,0,14,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5
77,1,973.cha,female,116,9.666666667,ENNI,SLI,435,56,0,0.292,0.628571429,380,33,0,14,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,13
78,0,401.cha,female,58,4.833333333,ENNI,TD,989,118,1,0.204,0.28125,895,47,3,41,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,14
79,0,402.cha,male,55,4.583333333,ENNI,TD,530,95,159,0.202,0.173076923,476,37,3,14,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4
80,0,403.cha,female,51,4.25,ENNI,TD,513,73,18,0.298,0.258064516,413,42,1,36,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6
81,0,404.cha,male,55,4.583333333,ENNI,TD,333,72,63,0.303,0.224489796,314,33,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7
